PLZ,Ort,Wohnung_Min,Wohnung_Durchschnitt,Wohnung_Max,Haus_Min,Haus_Durchschnitt,Haus_Max
1000,Lausanne 25,5622,11116,22999,4733,9477,23398
1000,Lausanne 26,5411,10699,22137,4662,9336,23048
1000,Lausanne 27,5008,9902,20486,4746,9503,23461
1003,Lausanne,6639,13128,27162,5486,10986,27122
1004,Lausanne,5990,11843,24504,5324,10661,26319
1005,Lausanne,6366,12588,26044,6503,13023,32151
1006,Lausanne,6575,13001,26899,6402,12820,31649
1007,Lausanne,6410,12673,26221,5994,12003,29632
1008,Prilly,5915,11696,24198,4981,9975,24625
1008,Jouxtens-Mézery,5398,10673,22081,5294,10601,26172
1009,Pully,7125,14088,29149,6440,12897,31839
1010,Lausanne,5891,11649,24101,5670,11353,28028
1011,Lausanne,4055,8315,20074,3323,7710,19607
1012,Lausanne,6225,12309,25467,6063,12141,29972
1015,Lausanne,6329,12514,25892,6088,12192,30099
1018,Lausanne,5833,11534,23863,5121,10255,25317
1020,Renens VD,5291,10461,21644,4899,9809,24217
1022,Chavannes-près-Renens,5686,11242,23260,5094,10200,25181
1023,Crissier,5323,10525,21775,4963,9938,24534
1024,Ecublens VD,5761,11392,23569,5374,10761,26566
1025,St-Sulpice VD,6546,12942,26778,7532,15083,37235
1026,Denges,5619,11111,22989,5100,10214,25215
1026,Echandens,5479,10833,22413,5360,10732,26496
1027,Lonay,5384,10646,22026,5169,10350,25552
1028,Préverenges,5807,11482,23756,5922,11858,29274
1029,Villars-Ste-Croix,5067,10018,20727,4782,9576,23640
1030,Bussigny,5143,10170,21041,4826,9665,23860
1031,Mex VD,5082,10048,20788,4866,9744,24056
1032,Romanel-sur-Lausanne,5086,10056,20806,4686,9385,23168
1033,Cheseaux-sur-Lausanne,4877,9644,19952,4766,9544,23562
1034,Boussens,4202,8308,17188,4269,8548,21102
1035,Bournens,4578,9053,18729,4140,8291,20468
1036,Sullens,4889,9668,20002,4442,8895,21959
1037,Etagnières,4254,8412,17404,4209,8429,20809
1038,Bercher,3404,6730,13924,3704,7418,18313
1040,Echallens,4341,8584,17760,4407,8826,21789
1040,Villars-le-Terroir,4139,8184,16932,3963,7935,19591
1040,St-Barthélemy VD,3705,7326,15157,3809,7628,18831
1041,Dommartin,3615,7147,14787,3631,7271,17951
1041,Montaubion-Chardonney,3538,6995,14472,3276,6559,16194
1041,Naz,3539,6997,14477,3740,7490,18490
1041,Poliez-le-Grand,3814,7541,15601,3901,7811,19284
1041,Poliez-Pittet,3830,7572,15666,4049,8108,20017
1041,Bottens,3550,7018,14521,3885,7779,19205
1042,Assens,4307,8515,17618,4446,8903,21979
1042,Bioley-Orjulaz,4265,8432,17446,4015,8040,19849
1042,Bettens,4157,8219,17006,4133,8276,20431
1043,Sugnens,4106,8119,16798,3819,7648,18880
1044,Fey,3792,7498,15514,4116,8242,20348
1045,Ogens,3021,5974,12360,2915,5838,14412
1046,Rueyres,3312,6549,13550,3368,6744,16648
1047,Oppens,3020,5971,12354,3564,7138,17621
1052,Le Mont-sur-Lausanne,5520,10915,22582,5053,10119,24981
1053,Cugy VD,4055,8315,20074,3323,7710,19607
1053,Bretigny-sur-Morrens,4080,8068,16692,4237,8485,20947
1054,Morrens VD,4151,8209,16983,4655,9322,23014
1055,Froideville,4199,8303,17179,4123,8256,20383
1058,Villars-Tiercelin,3849,7611,15747,3800,7609,18786
1059,Peney-le-Jorat,3557,7034,14552,3526,7061,17431
1061,Villars-Mendraz,3529,6978,14437,3824,7658,18905
1062,Sottens,2801,5537,11457,3158,6323,15611
1063,Chapelle-sur-Moudon,2781,5499,11378,3277,6563,16203
1063,Martherenges,2804,5545,11473,2394,4794,11835
1063,Boulens,4055,8315,20074,3323,7710,19607
1063,Peyres-Possens,3479,6879,14232,3384,6776,16728
1066,Epalinges,5428,10732,22205,5336,10684,26377
1068,Les Monts-de-Pully,5132,10148,20996,4758,9529,23524
1070,Puidoux,5002,9891,20464,4491,8993,22203
1071,Chexbres,5328,10535,21796,5170,10353,25558
1071,Rivaz,5446,10768,22278,5570,11154,27536
1071,St-Saphorin (Lavaux),4378,8656,17910,4461,8933,22053
1072,Forel (Lavaux),4303,8509,17605,4033,8075,19936
1073,Savigny,4179,8263,17096,4616,9244,22820
1073,Mollie-Margot,4240,8383,17344,4523,9058,22361
1076,Ferlens VD,3786,7486,15489,3635,7279,17969
1077,Servion,3830,7573,15669,3929,7868,19423
1078,Essertes,3377,6677,13814,4049,8108,20018
1080,Les Cullayes,4063,8033,16620,4409,8828,21795
1081,Montpreveyres,4486,8870,18352,4542,9096,22455
1082,Corcelles-le-Jorat,3915,7742,16017,3981,7973,19682
1083,Mézières VD,3893,7697,15925,4262,8535,21071
1084,Carrouge VD,3973,7856,16255,3731,7472,18447
1085,Vulliens,3366,6656,13771,3442,6893,17016
1088,Ropraz,3726,7367,15242,3812,7634,18846
1090,La Croix (Lutry),6825,13495,27920,5956,11928,29447
1091,Grandvaux,6306,12469,25799,6203,12422,30666
1091,Aran,6241,12341,25532,6303,12622,31160
1091,Chenaux,5436,10749,22239,6432,12879,31795
1092,Belmont-sur-Lausanne,5682,11236,23246,5390,10794,26649
1093,La Conversion,6779,13404,27733,6401,12818,31645
1094,Paudex,6978,13798,28547,7333,14684,36251
1095,Lutry,6931,13705,28355,7093,14205,35068
1096,Cully,5583,11039,22840,6825,13668,33743
1096,Villette (Lavaux),6624,13098,27098,7392,14802,36543
1097,Riex,5243,10367,21449,4823,9658,23844
1098,Epesses,5647,11166,23102,4556,9123,22522
1110,Morges,5962,11789,24392,5691,11396,28134
1112,Echichens,5325,10529,21783,5404,10822,26716
1113,St-Saphorin-sur-Morges,5065,10015,20722,5045,10102,24939
1114,Colombier VD,4418,8736,18074,4257,8525,21046
1115,Vullierens,4524,8946,18508,3878,7766,19171
1116,Cottens VD,3544,7007,14497,4156,8323,20547
1117,Grancy,4592,9080,18786,3920,7849,19377
1121,Bremblens,5024,9933,20551,4663,9338,23052
1122,Romanel-sur-Morges,4197,8298,17169,4792,9596,23690
1123,Aclens,4361,8623,17840,4241,8492,20965
1124,Gollion,4185,8275,17120,4166,8343,20596
1125,Monnaz,4806,9503,19661,5219,10451,25800
1126,Vaux-sur-Morges,5074,10033,20758,4915,9842,24298
1127,Clarmont,3955,7820,16179,4268,8546,21098
1128,Reverolle,4248,8399,17377,4604,9219,22760
1131,Tolochenaz,4965,9817,20312,5300,10613,26200
1132,Lully VD,4646,9186,19005,4878,9768,24115
1134,Vufflens-le-Château,5006,9899,20480,5565,11144,27511
1134,Chigny,5701,11273,23323,5391,10795,26650
1135,Denens,5010,9906,20495,5626,11266,27814
1136,Bussy-Chardonney,4883,9655,19975,4986,9984,24647
1141,Sévery,3392,6707,13877,4592,9196,22703
1142,Pampigny,3973,7855,16251,3870,7750,19134
1143,Apples,4132,8170,16904,4420,8852,21853
1144,Ballens,4015,7938,16423,3565,7139,17625
1145,Bière,3488,6896,14268,3755,7520,18564
1146,Mollens VD,3084,6099,12618,3097,6201,15309
1147,Montricher,3255,6436,13316,3612,7233,17856
1148,L'Isle,4055,8315,20074,3323,7710,19607
1148,Mauraz,3623,7163,14820,3196,6400,15800
1148,Villars-Bozon,3531,6981,14444,3353,6714,16576
1148,Cuarnens,3453,6827,14125,3525,7058,17425
1148,Mont-la-Ville,3349,6622,13701,3289,6586,16259
1148,La Praz,2924,5782,11962,2875,5757,14213
1148,Chavannes-le-Veyron,4344,8589,17770,3796,7601,18764
1148,Moiry VD,3030,5991,12394,2998,6004,14823
1148,La Coudre,3350,6624,13704,3427,6862,16941
1149,Berolle,3346,6616,13688,3139,6285,15516
1162,St-Prex,5836,11539,23874,5988,11992,29605
1163,Etoy,4861,9611,19884,5125,10262,25334
1164,Buchillon,5323,10526,21777,6845,13708,33841
1165,Allaman,4810,9510,19676,5853,11721,28936
1166,Perroy,5476,10827,22400,6321,12657,31247
1167,Lussy-sur-Morges,4899,9687,20042,5329,10671,26344
1168,Villars-sous-Yens,4621,9137,18904,4326,8663,21386
1169,Yens,4933,9755,20182,5537,11088,27373
1170,Aubonne,4665,9224,19085,5214,10440,25775
1172,Bougy-Villars,5779,11427,23643,6800,13616,33615
1173,Féchy,5086,10056,20806,5851,11717,28927
1174,Montherod,4811,9513,19682,4657,9326,23023
1174,Pizy,5191,10264,21235,6387,12790,31576
1175,Lavigny,4330,8561,17712,4587,9186,22678
1176,St-Livres,4253,8409,17397,3828,7666,18926
1180,Rolle,6063,11988,24802,5933,11880,29330
1180,Tartegnin,5354,10586,21901,5597,11207,27668
1182,Gilly,5435,10746,22233,5542,11098,27398
1183,Bursins,5151,10185,21073,5061,10135,25022
1184,Luins,4797,9484,19623,5000,10013,24719
1184,Vinzel,5026,9937,20560,4594,9199,22711
1185,Mont-sur-Rolle,5690,11251,23277,6038,12090,29848
1186,Essertines-sur-Rolle,4604,9104,18835,4600,9211,22740
1187,St-Oyens,3968,7846,16234,4297,8604,21241
1188,Gimel,4330,8562,17715,4264,8538,21079
1188,St-George,3912,7734,16002,4258,8526,21048
1189,Saubraz,4329,8559,17709,4204,8418,20783
1195,Dully,5804,11477,23745,5782,11578,28583
